event_time_utc,symbol,oi_notional,d6h_pct,d6h_rolling_pctl,r6h_mark,severity,severity_code,funding_time_utc,funding_value,funding_rolling_pctl,a2_overlap,regime
2022-09-18T21:00:00Z,ETHUSDT,1303824779.5482,-0.10155677987432432,0.008434596140100071,-0.060584165498838216,Mild,0,2022-09-18T16:00:00Z,6.342e-05,0.4374429223744292,0,bear
2022-09-21T21:00:00Z,BTCUSDT,2073572552.15,-0.10884350586100011,0.005824577432617634,-0.038554497831869886,Medium,1,2022-09-21T16:00:00Z,2.732e-05,0.27671232876712326,0,unknown
2022-09-27T16:00:00Z,SOLUSDT,107787053.92,-0.15010190382440092,0.004024424091035248,-0.052424438606777,Medium,1,2022-09-27T08:00:00Z,0.0001,0.6945205479452055,0,bear
2022-09-27T18:00:00Z,ETHUSDT,1354173147.9493,-0.10412002808252241,0.0069367369589345175,-0.0510447537188025,Mild,0,2022-09-27T16:00:00Z,1.303e-05,0.29954337899543376,0,bear
2022-09-30T21:00:00Z,BTCUSDT,2494806549.3812127,-0.16385431702782915,0.0021699406121516674,-0.020170358716590953,Severe,2,2022-09-30T16:00:00Z,0.0001,0.7027397260273973,0,unknown
2022-09-30T21:00:00Z,SOLUSDT,107131755.4,-0.13410466331759074,0.007002608815048743,-0.04039715728867973,Mild,0,2022-09-30T16:00:00Z,0.0001,0.6972602739726027,0,bear
2022-10-31T16:00:00Z,SOLUSDT,132073940.95,-0.12623291914391255,0.008476689104961356,-0.04228923651396792,Mild,0,2022-10-31T08:00:00Z,0.0001,0.7502283105022831,0,unknown
2022-11-08T19:00:00Z,BTCUSDT,2143976691.0781,-0.15092929425654866,0.002740977615349475,-0.0691634545811534,Severe,2,2022-11-08T16:00:00Z,9.446e-05,0.5625570776255707,0,unknown
2022-11-09T17:00:00Z,SOLUSDT,183331401.22413608,-0.13705914434413935,0.005825949751183396,-0.3922296856815771,Medium,1,2022-11-09T16:00:00Z,-0.015,0.0,0,unknown
2022-11-11T02:00:00Z,SOLUSDT,138642059.48,-0.13437886243575592,0.007011605415860735,-0.08439296267395423,Mild,0,2022-11-11T00:00:00Z,-0.00262997,0.012681159420289856,0,unknown
2022-11-15T19:00:00Z,SOLUSDT,98736920.8449742,-0.12983050544526453,0.008467501490757305,-0.03958878840598832,Mild,0,2022-11-15T18:00:00Z,-0.00136816,0.029668411867364748,0,unknown
2022-12-05T20:00:00Z,BTCUSDT,2119824326.2586,-0.09936619143107583,0.007880310644129739,-0.015676093300410993,Mild,0,2022-12-05T16:00:00Z,4.603e-05,0.4420091324200913,0,unknown
2022-12-05T20:00:00Z,ETHUSDT,1397852120.5628378,-0.1022309540420131,0.006966651439013248,-0.02241523036419711,Mild,0,2022-12-05T16:00:00Z,5.578e-05,0.5607305936073059,0,unknown
2022-12-16T09:00:00Z,ETHUSDT,1261364375.51186,-0.10892371432042125,0.005253540429419826,-0.04790670440047483,Medium,1,2022-12-16T08:00:00Z,0.0001,0.8611872146118722,0,unknown
2023-01-04T19:00:00Z,SOLUSDT,184170424.83,-0.1246580310094243,0.009022384650525354,-0.023029335325478874,Mild,0,2023-01-04T16:00:00Z,-0.00145742,0.04188034188034188,0,unknown
2023-01-18T15:00:00Z,SOLUSDT,153957100.9607988,-0.13644014582485997,0.00548195523069895,-0.02870435754822193,Medium,1,2023-01-18T08:00:00Z,0.0001,0.8551282051282051,0,unknown
2023-01-22T20:00:00Z,SOLUSDT,147344589.722,-0.13482281455341694,0.006395614435815441,-0.05560209370725853,Medium,1,2023-01-22T16:00:00Z,0.0001,0.8542735042735042,0,unknown
2023-01-24T22:00:00Z,SOLUSDT,139219786.356,-0.13220545785305515,0.007195066240292371,-0.05521316419301255,Mild,0,2023-01-24T16:00:00Z,0.0001,0.8512820512820513,0,unknown
2023-01-25T00:00:00Z,ETHUSDT,1542502198.6699817,-0.0993474513892757,0.007994518044769302,-0.04506104566944939,Mild,0,2023-01-24T16:00:00Z,0.0001,0.85662100456621,0,unknown
2023-01-30T11:00:00Z,BTCUSDT,2233357312.452,-0.09939202718749374,0.006395614435815441,-0.027798847704603433,Medium,1,2023-01-30T08:00:00Z,0.0001,0.8392694063926941,0,unknown
2023-01-30T12:00:00Z,ETHUSDT,1550443197.585,-0.10437446413291618,0.005938784833257195,-0.0327671302373016,Medium,1,2023-01-30T08:00:00Z,0.0001,0.8497716894977169,0,unknown
2023-02-03T00:00:00Z,SOLUSDT,129506378.02708057,-0.1318978763283154,0.008108725445408863,-0.058769948074139454,Mild,0,2023-02-02T16:00:00Z,0.0001,0.8393162393162393,0,unknown
