event_id,symbol,day,ok,status,quote_volume
P0RES018-00238,VANAUSDT,2024-12-17,True,200,1767459518.34316
P0RES018-00238,VANAUSDT,2024-12-19,True,200,342907831.41854
P0RES018-00237,MOCAUSDT,2024-12-21,True,200,975316450.5076998
P0RES018-00238,VANAUSDT,2024-12-20,True,200,432431909.75276005
P0RES018-00237,MOCAUSDT,2024-12-19,True,200,203222865.04060006
P0RES018-00238,VANAUSDT,2024-12-21,True,200,455703551.9489798
P0RES018-00238,VANAUSDT,2024-12-22,True,200,210149817.94717994
P0RES018-00239,PENGUUSDT,2024-12-18,True,200,1569582940.8760784
P0RES018-00239,PENGUUSDT,2024-12-20,True,200,456567652.604916
P0RES018-00238,VANAUSDT,2024-12-18,True,200,889489769.1871301
P0RES018-00238,VANAUSDT,2024-12-16,True,200,810499954.75563
P0RES018-00239,PENGUUSDT,2024-12-19,True,200,771041782.463002
P0RES018-00239,PENGUUSDT,2024-12-21,True,200,356341711.913086
P0RES018-00239,PENGUUSDT,2024-12-23,True,200,256289599.201192
P0RES018-00240,LUMIAUSDT,2024-12-19,True,200,60561892.276200004
P0RES018-00240,LUMIAUSDT,2024-12-20,True,200,44456844.62100001
P0RES018-00240,LUMIAUSDT,2024-12-22,True,200,21469429.235399995
P0RES018-00239,PENGUUSDT,2024-12-17,True,200,560082043.492415
P0RES018-00240,LUMIAUSDT,2024-12-23,True,200,23886731.010399997
P0RES018-00240,LUMIAUSDT,2024-12-21,True,200,33434728.969199996
P0RES018-00241,USUALUSDT,2024-12-21,True,200,1091485701.0746
P0RES018-00241,USUALUSDT,2024-12-18,True,200,1132768218.2113
P0RES018-00241,USUALUSDT,2024-12-20,True,200,2740712676.7334995
P0RES018-00241,USUALUSDT,2024-12-19,True,200,2076022334.9309998
P0RES018-00241,USUALUSDT,2024-12-23,True,200,1071782313.5134001
P0RES018-00241,USUALUSDT,2024-12-22,True,200,935733508.795
P0RES018-00240,LUMIAUSDT,2024-12-18,True,200,95007249.131
P0RES018-00239,PENGUUSDT,2024-12-22,True,200,226913490.48230198
P0RES018-00240,LUMIAUSDT,2024-12-24,True,200,38147639.76060001
P0RES018-00241,USUALUSDT,2024-12-24,True,200,995526331.4607999
P0RES018-00242,AIXBTUSDT,2024-12-21,True,200,133968678.76072003
P0RES018-00242,AIXBTUSDT,2024-12-20,True,200,43471119.93034999
P0RES018-00242,AIXBTUSDT,2024-12-22,True,200,60218613.457890004
P0RES018-00242,AIXBTUSDT,2024-12-24,True,200,46719043.169369996
P0RES018-00242,AIXBTUSDT,2024-12-25,True,200,80775372.19200002
P0RES018-00242,AIXBTUSDT,2024-12-23,True,200,53230118.72927
P0RES018-00243,CGPTUSDT,2024-12-20,True,200,15342627.014940001
P0RES018-00243,CGPTUSDT,2024-12-21,True,200,85735736.49355
P0RES018-00243,CGPTUSDT,2024-12-25,True,200,49757496.825849995
P0RES018-00242,AIXBTUSDT,2024-12-26,True,200,169634844.93373
P0RES018-00244,FARTCOINUSDT,2024-12-20,True,200,15431135.67124
P0RES018-00243,CGPTUSDT,2024-12-24,True,200,59460772.929010004
P0RES018-00243,CGPTUSDT,2024-12-26,True,200,47901154.679680005
P0RES018-00243,CGPTUSDT,2024-12-22,True,200,58107291.562290005
P0RES018-00244,FARTCOINUSDT,2024-12-21,True,200,131753853.54594998
P0RES018-00243,CGPTUSDT,2024-12-23,True,200,81470609.6532
