event_id,dataset,period,probe_symbol,ok,status,url
P0RES018-00626,spot_1h_daily_pre30,2026-06-03,HIMSUSDT,False,404,https://data.binance.vision/data/spot/daily/klines/HIMSUSDT/1h/HIMSUSDT-1h-2026-06-03.zip
P0RES018-00626,spot_1h_daily_pre30,2026-06-02,HIMSUSDT,False,404,https://data.binance.vision/data/spot/daily/klines/HIMSUSDT/1h/HIMSUSDT-1h-2026-06-02.zip
P0RES018-00626,spot_1h_daily_pre30,2026-06-05,HIMSUSDT,False,404,https://data.binance.vision/data/spot/daily/klines/HIMSUSDT/1h/HIMSUSDT-1h-2026-06-05.zip
P0RES018-00626,spot_1h_daily_near_listing,2026-06-11,HIMSUSDT,False,404,https://data.binance.vision/data/spot/daily/klines/HIMSUSDT/1h/HIMSUSDT-1h-2026-06-11.zip
P0RES018-00626,spot_1h_daily_pre30,2026-06-08,HIMSUSDT,False,404,https://data.binance.vision/data/spot/daily/klines/HIMSUSDT/1h/HIMSUSDT-1h-2026-06-08.zip
P0RES018-00626,spot_1h_daily_pre30,2026-06-06,HIMSUSDT,False,404,https://data.binance.vision/data/spot/daily/klines/HIMSUSDT/1h/HIMSUSDT-1h-2026-06-06.zip
P0RES018-00626,spot_1h_daily_near_listing,2026-06-12,HIMSUSDT,False,404,https://data.binance.vision/data/spot/daily/klines/HIMSUSDT/1h/HIMSUSDT-1h-2026-06-12.zip
P0RES018-00626,spot_1h_daily_near_listing,2026-06-09,HIMSUSDT,False,404,https://data.binance.vision/data/spot/daily/klines/HIMSUSDT/1h/HIMSUSDT-1h-2026-06-09.zip
P0RES018-00626,spot_1h_daily_pre30,2026-05-19,HIMSUSDT,False,404,https://data.binance.vision/data/spot/daily/klines/HIMSUSDT/1h/HIMSUSDT-1h-2026-05-19.zip
P0RES018-00626,spot_1h_daily_pre30,2026-05-30,HIMSUSDT,False,404,https://data.binance.vision/data/spot/daily/klines/HIMSUSDT/1h/HIMSUSDT-1h-2026-05-30.zip
P0RES018-00626,spot_1h_daily_pre30,2026-05-23,HIMSUSDT,False,404,https://data.binance.vision/data/spot/daily/klines/HIMSUSDT/1h/HIMSUSDT-1h-2026-05-23.zip
P0RES018-00626,spot_1h_daily_near_listing,2026-06-10,HIMSUSDT,False,404,https://data.binance.vision/data/spot/daily/klines/HIMSUSDT/1h/HIMSUSDT-1h-2026-06-10.zip
P0RES018-00626,spot_1h_daily_pre30,2026-05-31,HIMSUSDT,False,404,https://data.binance.vision/data/spot/daily/klines/HIMSUSDT/1h/HIMSUSDT-1h-2026-05-31.zip
P0RES018-00626,spot_1h_daily_near_listing,2026-06-15,HIMSUSDT,False,404,https://data.binance.vision/data/spot/daily/klines/HIMSUSDT/1h/HIMSUSDT-1h-2026-06-15.zip
P0RES018-00626,spot_1h_daily_pre30,2026-06-04,HIMSUSDT,False,404,https://data.binance.vision/data/spot/daily/klines/HIMSUSDT/1h/HIMSUSDT-1h-2026-06-04.zip
P0RES018-00626,perp_kline_1h_daily,2026-06-09,HIMSUSDT,True,200,https://data.binance.vision/data/futures/um/daily/klines/HIMSUSDT/1h/HIMSUSDT-1h-2026-06-09.zip
P0RES018-00626,perp_kline_1h_daily,2026-06-10,HIMSUSDT,True,200,https://data.binance.vision/data/futures/um/daily/klines/HIMSUSDT/1h/HIMSUSDT-1h-2026-06-10.zip
P0RES018-00626,perp_oi_metrics_daily,2026-06-12,HIMSUSDT,True,200,https://data.binance.vision/data/futures/um/daily/metrics/HIMSUSDT/HIMSUSDT-metrics-2026-06-12.zip
P0RES018-00626,perp_kline_1h_daily,2026-06-13,HIMSUSDT,True,200,https://data.binance.vision/data/futures/um/daily/klines/HIMSUSDT/1h/HIMSUSDT-1h-2026-06-13.zip
P0RES018-00626,perp_kline_1h_daily,2026-06-12,HIMSUSDT,True,200,https://data.binance.vision/data/futures/um/daily/klines/HIMSUSDT/1h/HIMSUSDT-1h-2026-06-12.zip
P0RES018-00626,spot_1h_daily_pre30,2026-06-07,HIMSUSDT,False,404,https://data.binance.vision/data/spot/daily/klines/HIMSUSDT/1h/HIMSUSDT-1h-2026-06-07.zip
P0RES018-00626,perp_kline_1h_daily,2026-06-11,HIMSUSDT,True,200,https://data.binance.vision/data/futures/um/daily/klines/HIMSUSDT/1h/HIMSUSDT-1h-2026-06-11.zip
P0RES018-00626,perp_oi_metrics_daily,2026-06-09,HIMSUSDT,True,200,https://data.binance.vision/data/futures/um/daily/metrics/HIMSUSDT/HIMSUSDT-metrics-2026-06-09.zip
P0RES018-00626,spot_1h_daily_near_listing,2026-06-13,HIMSUSDT,False,404,https://data.binance.vision/data/spot/daily/klines/HIMSUSDT/1h/HIMSUSDT-1h-2026-06-13.zip
P0RES018-00626,perp_oi_metrics_daily,2026-06-13,HIMSUSDT,True,200,https://data.binance.vision/data/futures/um/daily/metrics/HIMSUSDT/HIMSUSDT-metrics-2026-06-13.zip
P0RES018-00626,spot_1h_daily_near_listing,2026-06-14,HIMSUSDT,False,404,https://data.binance.vision/data/spot/daily/klines/HIMSUSDT/1h/HIMSUSDT-1h-2026-06-14.zip
P0RES018-00626,perp_oi_metrics_daily,2026-06-10,HIMSUSDT,True,200,https://data.binance.vision/data/futures/um/daily/metrics/HIMSUSDT/HIMSUSDT-metrics-2026-06-10.zip
P0RES018-00626,perp_oi_metrics_daily,2026-06-16,HIMSUSDT,True,200,https://data.binance.vision/data/futures/um/daily/metrics/HIMSUSDT/HIMSUSDT-metrics-2026-06-16.zip
P0RES018-00626,perp_kline_1h_daily,2026-06-15,HIMSUSDT,True,200,https://data.binance.vision/data/futures/um/daily/klines/HIMSUSDT/1h/HIMSUSDT-1h-2026-06-15.zip
P0RES018-00626,perp_kline_1h_daily,2026-06-16,HIMSUSDT,True,200,https://data.binance.vision/data/futures/um/daily/klines/HIMSUSDT/1h/HIMSUSDT-1h-2026-06-16.zip
