symbol,datetime,bar_index,period,close,ref_high,future_ret_6,future_ret_12,future_ret_24
BTC,2022-03-19 20:00:00,7038,2022,42201.13,42325.02,-0.022502352481311442,-0.02882005468730348,0.016022882428160672
BTC,2022-04-18 16:00:00,7217,2022,40680.68,40870.36,0.017943932399637888,0.012536657515404122,-0.029378693646065324
BTC,2022-04-19 00:00:00,7219,2022,40693.79,41116.73,0.016870541215885295,0.024271659163173843,-0.030711470090350843
ETH,2022-04-19 00:00:00,7219,2022,3037.58,3086.1,0.01763407960344383,0.01930817451289928,-0.03050421176674115
SOL,2022-04-19 20:00:00,3700,2022,108.51,108.58,-0.027278664813693294,-0.0640287134714297,-0.07539191068687454
ETH,2022-04-25 20:00:00,7260,2022,3006.62,3022.1,-0.06774948549478285,-0.03991994845474362,-0.06509788800742994
BTC,2022-04-26 00:00:00,7261,2022,40535.29,40616.0,-0.05559627645014819,-0.029878522948238645,-0.04746137885266518
ETH,2022-04-26 00:00:00,7261,2022,3001.0,3025.65,-0.05645223205540646,-0.039819359483851825,-0.06282589322077078
BTC,2022-04-26 08:00:00,7263,2022,40467.03,40773.65,-0.036485250249984245,-0.01965767534760056,-0.04775330182096862
ETH,2022-05-02 20:00:00,7302,2022,2856.54,2886.23,-0.026548850637668365,0.02901614249998094,-0.05901098991975129
BTC,2022-05-04 12:00:00,7312,2022,38973.2,39167.34,-0.05440065409096857,-0.07923474368099324,-0.12604167064911753
ETH,2022-05-15 20:00:00,7380,2022,2145.29,2147.54,-0.058366988252162674,-0.025766237118035384,-0.06040002705827812
SOL,2022-05-23 04:00:00,3900,2022,53.56,53.62,-0.07198464634377406,-0.09245764274940291,-0.2662553199604577
ETH,2022-05-23 08:00:00,7425,2022,2068.96,2081.74,-0.05086194768392024,-0.06226235194498525,-0.15536055354265133
SOL,2022-05-23 08:00:00,3901,2022,54.01,54.38,-0.08618695382880275,-0.12444748229466673,-0.26130946084997925
ETH,2022-05-23 12:00:00,7426,2022,2065.0,2085.0,-0.05079896011069122,-0.04987719545188144,-0.1573592114947786
SOL,2022-05-30 00:00:00,3941,2022,45.95,46.68,0.03737754909259949,-0.025792237631087324,-0.1103299216786174
BTC,2022-05-30 12:00:00,7468,2022,30634.08,30928.71,0.04545017988541326,0.003535874887087606,-0.037511348315240924
ETH,2022-05-30 12:00:00,7468,2022,1912.44,1917.68,0.03906101716261852,-0.01679435628258094,-0.08118151794056805
ETH,2022-05-30 16:00:00,7469,2022,1917.33,1924.0,0.008765381160130346,-0.0510975918016069,-0.0906437468021593
SOL,2022-05-30 20:00:00,3946,2022,47.22,47.37,-0.031188676991816076,-0.16319185187540539,-0.20988996507261332
ETH,2022-05-31 00:00:00,7471,2022,1994.51,2013.0,-0.03289394738413846,-0.09456641407026684,-0.12909261848615036
BTC,2022-05-31 16:00:00,7475,2022,31625.71,32222.0,-0.048557911771937495,-0.04305340455628161,-0.06432582653166545
