symbol,datetime,bar_index,period,close,ref_low,future_ret_6,future_ret_12,future_ret_24
BTC,2023-02-13 08:00:00,9021,2023-2024,21603.11,21451.0,0.00952258276814604,0.03823637834570328,0.0964204722746928
BTC,2023-02-13 16:00:00,9023,2023-2024,21607.81,21433.0,0.027427029216020977,0.07620936714639977,0.12661738671613146
ETH,2023-02-21 20:00:00,9072,2023-2024,1659.76,1650.56,-0.010063968196039556,-0.005576565146614473,-0.040062634925509724
ETH,2023-02-22 00:00:00,9073,2023-2024,1649.25,1636.3,0.010968877030434955,-6.669920781998448e-05,-0.028599735235613582
BTC,2023-02-22 16:00:00,9077,2023-2024,23791.67,23627.08,0.007530105298002608,-0.025947757046930833,-0.012363609307753976
ETH,2023-02-22 16:00:00,9077,2023-2024,1616.1,1604.5,0.02265462126216184,-0.0032600573041917467,0.010470333033092446
ETH,2023-02-24 16:00:00,9089,2023-2024,1610.84,1595.07,-0.016417461798296132,0.013730390337284255,0.010602627999356988
BTC,2023-02-25 20:00:00,9096,2023-2024,23157.07,22841.19,0.01703161058168721,0.014363635269047773,0.02017336811499624
ETH,2023-02-25 20:00:00,9096,2023-2024,1594.58,1575.64,0.02891478779857588,0.024083963791763495,0.04334686815862065
ETH,2023-03-21 04:00:00,9236,2023-2024,1730.34,1722.0,0.035432832788794916,0.011777751780520927,0.009725202383348987
BTC,2023-03-22 20:00:00,9246,2023-2024,27250.97,26650.27,0.037610483876124916,0.007439879422357502,0.025973670422969854
ETH,2023-04-03 00:00:00,9313,2023-2024,1778.34,1763.0,0.016330717981483892,0.07266296564494613,0.053850555786725936
BTC,2023-04-03 20:00:00,9318,2023-2024,27800.0,27560.0,0.01306073888880465,0.013221916179202159,0.0038175241173933738
BTC,2023-04-17 00:00:00,9397,2023-2024,29982.8,29966.0,-0.018032186167058064,0.00758982565436338,-0.0570058281886949
BTC,2023-04-18 00:00:00,9403,2023-2024,29446.99,29240.65,0.025622011821421504,-0.020047830122320386,-0.07489360320854231
BTC,2023-04-19 08:00:00,9411,2023-2024,29310.65,29096.78,-0.02429494375353986,-0.04338456954443928,-0.05858201740747369
ETH,2023-04-20 16:00:00,9419,2023-2024,1927.7,1923.03,-0.04509569506273048,-0.02929883707292302,-0.051285103585548164
BTC,2023-04-21 04:00:00,9422,2023-2024,28155.03,28010.0,-0.03165430606913281,-0.015611533241468186,-0.03206571478308645
ETH,2023-04-21 04:00:00,9422,2023-2024,1928.44,1914.43,-0.04109340786802429,-0.028476129535929495,-0.06027887099175123
ETH,2023-04-21 12:00:00,9424,2023-2024,1903.91,1898.0,-0.01967857450499303,-0.023704215186780904,-0.04782970828463786
BTC,2023-04-21 20:00:00,9426,2023-2024,27262.84,27184.54,0.02011734939753183,0.011950532209116746,0.03736511666051514
ETH,2023-04-21 20:00:00,9426,2023-2024,1848.78,1836.61,0.013634596948651654,0.007125216763134681,0.009324729465548265
BTC,2023-04-24 16:00:00,9443,2023-2024,27383.29,27125.0,0.008295757579563684,0.01812868133078691,0.06862778905877583
ETH,2023-04-24 16:00:00,9443,2023-2024,1831.33,1825.0,0.003450544308133277,-0.0014152737146086833,0.03278224853530183
ETH,2023-04-25 08:00:00,9447,2023-2024,1826.03,1806.0,0.047354066037788724,0.02961680745400172,0.03863014492965019
ETH,2023-04-25 12:00:00,9448,2023-2024,1814.99,1805.65,0.0737525351346589,0.045873923112965335,0.04868547491734116
ETH,2023-04-26 20:00:00,9456,2023-2024,1866.01,1801.66,0.02260944219517275,0.013271598461552682,0.002184096583011218
BTC,2023-05-01 04:00:00,9482,2023-2024,28629.09,28369.95,-0.02016842708892233,0.0008627358547261203,0.01501812375121809
BTC,2023-05-01 20:00:00,9486,2023-2024,28068.26,27799.99,0.021206996165195773,0.03355809176725793,0.04994101419233578
ETH,2023-05-01 20:00:00,9486,2023-2024,1830.73,1808.01,0.02126641628521955,0.039830204305859145,0.08507676233171418
ETH,2023-05-08 00:00:00,9523,2023-2024,1865.39,1860.0,-0.011766237294215975,-0.011679452926195792,-0.05631144940957586
ETH,2023-05-08 04:00:00,9524,2023-2024,1851.43,1840.0,-0.0015188986852799628,-0.0071225217900815155,-0.05094568613769133
BTC,2023-05-08 08:00:00,9525,2023-2024,27934.09,27830.85,-0.009198732786288384,-0.009242811593421914,-0.05845505644471242
ETH,2023-05-08 08:00:00,9525,2023-2024,1862.78,1838.34,-0.008637243212639058,-0.006619526658195371,-0.05399862841684889
