symbol,signal_time,entry_time,entry_price,period,sweep_low,ref_low,atr14,sweep_distance,ref_distance,atr35_distance,compound_distance,atr35_stop_price,atr19_stop_price,compound_stop_price
BTC,2022-04-06 00:00:00,2022-04-06 04:00:00,45238.48793999999,2022,44412.0,45118.0,771.0064285714288,0.018269574816385695,0.0026633945007135404,0.05965103218257567,0.05965103218257567,42539.96543999999,43773.575725714276,42539.96543999999
SOL,2022-04-06 08:00:00,2022-04-06 12:00:00,121.68081,2022,119.25,120.12,5.052857142857145,0.019976938023341512,0.012827084237851387,0.14533926919125548,0.14533926919125548,103.99580999999998,112.08038142857141,103.99580999999998
BTC,2022-04-06 16:00:00,2022-04-06 20:00:00,43776.43728,2022,43177.11,43705.64,822.4649999999996,0.013690636270069662,0.0016172462721708008,0.06575746403454234,0.06575746403454234,40897.80978,42213.75378,40897.80978
ETH,2022-04-06 16:00:00,2022-04-06 20:00:00,3226.9426649999996,2022,3171.26,3217.33,75.28,0.01725554829465784,0.002978876911653977,0.08165004072050969,0.08165004072050969,2963.4626649999996,3083.910665,2963.4626649999996
SOL,2022-04-06 16:00:00,2022-04-06 20:00:00,118.83939,2022,114.5,114.71,5.468571428571432,0.036514744816512394,0.03474765395547723,0.16105770990578136,0.16105770990578136,99.69938999999998,108.44910428571427,99.69938999999998
ETH,2022-04-07 00:00:00,2022-04-07 04:00:00,3187.15278,2022,3143.15,3162.39,73.485,0.013806297669859366,0.007769561646178764,0.0806982023622978,0.0806982023622978,2929.95528,3047.5312799999997,2929.95528
ETH,2022-04-11 00:00:00,2022-04-11 04:00:00,3176.8976549999998,2022,3151.84,3173.52,45.44428571428567,0.007887460573544858,0.0010631928902978076,0.050066139130944036,0.050066139130944036,3017.842655,3090.553512142857,3017.842655
ETH,2022-04-11 16:00:00,2022-04-11 20:00:00,3006.1022999999996,2022,2977.54,3002.36,53.93714285714282,0.009501439787993775,0.0012449010800462221,0.06279892736850635,0.06279892736850635,2817.3223,2903.6217285714283,2817.3223
ETH,2022-04-11 20:00:00,2022-04-12 00:00:00,2981.2398749999998,2022,2950.0,2977.54,56.433571428571405,0.010478819655529987,0.0012410524329243358,0.06625347448769112,0.06625347448769112,2783.722375,2874.0160892857143,2783.722375
BTC,2023-01-18 16:00:00,2023-01-18 20:00:00,20915.822685,2023-2024,20407.15,20573.13,390.91999999999956,0.024319994133665975,0.0163843751288714,0.0654155478656468,0.0654155478656468,19547.602684999998,20173.074685,19547.602684999998
ETH,2023-01-18 16:00:00,2023-01-18 20:00:00,1542.73098,2023-2024,1501.39,1518.76,35.53357142857141,0.02679727090202074,0.015538016874465082,0.08061515689533891,0.08061515689533891,1418.36348,1475.2171942857144,1418.36348
ETH,2023-01-25 00:00:00,2023-01-25 04:00:00,1547.403315,2023-2024,1518.0,1535.0,28.559285714285675,0.019001713848596752,0.008015567033989469,0.06459692766006506,0.06459692766006506,1447.445815,1493.1406721428573,1447.445815
BTC,2023-01-30 20:00:00,2023-01-31 00:00:00,22838.79369,2023-2024,22500.0,22627.9,339.8292857142852,0.014834132423917816,0.0092340117811186,0.05207816648042931,0.05207816648042931,21649.391190000002,22193.118047142856,21649.391190000002
BTC,2023-02-06 04:00:00,2023-02-06 08:00:00,22892.350455,2023-2024,22628.13,22743.0,199.8142857142866,0.011541866595104892,0.006524033226451835,0.030549506105750517,0.030549506105750517,22193.000454999998,22512.703312142858,22193.000454999998
ETH,2023-02-06 04:00:00,2023-02-06 08:00:00,1636.227705,2023-2024,1608.53,1609.3,21.827142857142867,0.01692778145447674,0.016457186807015994,0.04668971180878522,0.04668971180878522,1559.832705,1594.7561335714286,1559.832705
ETH,2023-02-06 20:00:00,2023-02-07 00:00:00,1615.0871399999999,2023-2024,1605.01,1608.53,24.08071428571431,0.006239378514276247,0.004059929546587741,0.05218449080091127,0.05218449080091127,1530.8046399999998,1569.3337828571428,1530.8046399999998
BTC,2023-02-09 04:00:00,2023-02-09 08:00:00,22687.748205,2023-2024,22353.71,22424.48,273.9850000000006,0.01472328597715944,0.011603981259893408,0.04226719599209348,0.04226719599209348,21728.800704999998,22167.176704999998,21728.800704999998
BTC,2023-02-10 04:00:00,2023-02-10 08:00:00,21921.565305,2023-2024,21622.4,21688.0,309.7500000000003,0.013647077698952603,0.010654590662224614,0.049454725742268384,0.049454725742268384,20837.440305,21333.040305,20837.440305
BTC,2023-02-10 12:00:00,2023-02-10 16:00:00,21663.576375,2023-2024,21520.0,21622.4,328.5535714285717,0.006627547202487269,0.0019007191743057289,0.05308160943024353,0.05308160943024353,20513.638875,21039.324589285712,20513.638875
BTC,2023-02-10 20:00:00,2023-02-11 00:00:00,21636.002594999998,2023-2024,21451.0,21520.0,337.90928571428566,0.008550682788453333,0.005361553941891553,0.054662708363388414,0.054662708363388414,20453.320095,20993.974952142857,20453.320095
ETH,2023-02-10 20:00:00,2023-02-11 00:00:00,1513.806525,2023-2024,1490.0,1506.0,32.56785714285719,0.015726266604644188,0.005156884232613521,0.07529859207074047,0.07529859207074047,1399.8190249999998,1451.9275964285714,1399.8190249999998
BTC,2023-02-13 08:00:00,2023-02-13 12:00:00,21613.6014,2023-2024,21433.0,21451.0,183.79500000000033,0.008355914253142447,0.007523105334958179,0.029762855717326276,0.029762855717326276,20970.3189,21264.3909,20970.3189
BTC,2023-02-13 16:00:00,2023-02-13 20:00:00,21618.613905,2023-2024,21351.07,21433.0,208.7900000000001,0.012375627141299772,0.008585837455428591,0.03380258342238063,0.03380258342238063,20887.848905,21221.912904999997,20887.848905
ETH,2023-02-21 20:00:00,2023-02-22 00:00:00,1660.5998849999999,2023-2024,1636.3,1650.56,28.589285714285698,0.014633196846210733,0.006045938633796734,0.060256839051870674,0.060256839051870674,1560.537385,1606.280242142857,1560.537385
ETH,2023-02-22 00:00:00,2023-02-22 04:00:00,1650.0846299999998,2023-2024,1621.59,1636.3,28.212857142857143,0.017268587005746436,0.008353892733368397,0.05984238517511675,0.05984238517511675,1551.33963,1596.4802014285713,1551.33963
BTC,2023-02-22 16:00:00,2023-02-22 20:00:00,23803.575839999998,2023-2024,23574.69,23627.08,413.1435714285713,0.009615607400270287,0.0074146775756022704,0.06074728056488507,0.06074728056488507,22357.57334,23018.60305428571,22357.57334
ETH,2023-02-22 16:00:00,2023-02-22 20:00:00,1616.9080499999998,2023-2024,1595.07,1604.5,29.323571428571444,0.013506055585535517,0.007673936684278229,0.06347454328030593,0.06347454328030593,1514.2755499999998,1561.193264285714,1514.2755499999998
ETH,2023-02-24 16:00:00,2023-02-24 20:00:00,1611.6354149999997,2023-2024,1575.64,1595.07,31.571428571428587,0.022334713338376003,0.010278636747381109,0.06856389414847903,0.06856389414847903,1501.1354149999995,1551.6497007142855,1501.1354149999995
BTC,2023-02-25 20:00:00,2023-02-26 00:00:00,23168.648534999997,2023-2024,22722.0,22841.19,307.0835714285721,0.019278143665793095,0.014133691678447224,0.04638995228298941,0.04638995228298941,22093.856034999997,22585.18974928571,22093.856034999997
ETH,2023-02-25 20:00:00,2023-02-26 00:00:00,1595.37729,2023-2024,1557.33,1575.64,23.433571428571423,0.023848459068888953,0.012371550055096875,0.05140946941773252,0.05140946941773252,1513.35979,1550.8535042857143,1513.35979
ETH,2023-03-21 04:00:00,2023-03-21 08:00:00,1731.2051699999997,2023-2024,1717.01,1722.0,37.08071428571429,0.008199588498225047,0.005317203390745261,0.0749665621666322,0.0749665621666322,1601.4226699999997,1660.7518128571426,1601.4226699999997
BTC,2023-03-22 20:00:00,2023-03-23 00:00:00,27264.595484999998,2023-2024,26601.8,26650.27,625.1800000000003,0.024309749446480695,0.022531986045345048,0.08025536271769855,0.08025536271769855,25076.465484999997,26076.753484999997,25076.465484999997
ETH,2023-04-03 00:00:00,2023-04-03 04:00:00,1779.2191649999997,2023-2024,1762.77,1763.0,18.005714285714312,0.0092451595191758,0.009115889328901058,0.03542003213527666,0.03542003213527666,1716.1991649999995,1745.0083078571427,1716.1991649999995
BTC,2023-04-03 20:00:00,2023-04-04 00:00:00,27813.899999999998,2023-2024,27200.24,27560.0,361.16428571428594,0.02206306918483191,0.009128529260549504,0.045447599941036705,0.045447599941036705,26549.824999999997,27127.687857142857,26549.824999999997
BTC,2023-04-17 00:00:00,2023-04-17 04:00:00,29997.7914,2023-2024,29740.64,29966.0,213.72999999999956,0.008572344429330182,0.0010597913551728428,0.024937002528792787,0.024937002528792787,29249.736399999998,29591.7044,29249.736399999998
BTC,2023-04-18 00:00:00,2023-04-18 04:00:00,29461.7235,2023-2024,29096.78,29240.65,269.67000000000036,0.01238703838897956,0.007503753132432955,0.032036313150518886,0.032036313150518886,28517.8785,28949.350499999997,28517.8785
BTC,2023-04-19 08:00:00,2023-04-19 12:00:00,29325.295319999997,2023-2024,29000.0,29096.78,404.0128571428569,0.011092652825840236,0.0077924303065466495,0.048219292749478754,0.048219292749478754,27911.25032,28557.670891428566,27911.25032
ETH,2023-04-20 16:00:00,2023-04-20 20:00:00,1928.66385,2023-2024,1914.43,1923.03,38.867142857142916,0.007380161141092497,0.0029211155692060796,0.07053328655483443,0.07053328655483443,1792.6288499999996,1854.8162785714283,1792.6288499999996
BTC,2023-04-21 04:00:00,2023-04-21 08:00:00,28169.09751,2023-2024,27815.89,28010.0,481.50285714285695,0.012538829469939955,0.005647944878018196,0.05982655281738202,0.05982655281738202,26483.83751,27254.242081428572,26483.83751
ETH,2023-04-21 04:00:00,2023-04-21 08:00:00,1929.40422,2023-2024,1898.0,1914.43,39.3657142857143,0.016276641086645855,0.007761059007116628,0.07141064509540672,0.07141064509540672,1791.62422,1854.6093628571427,1791.62422
ETH,2023-04-21 12:00:00,2023-04-21 16:00:00,1904.861955,2023-2024,1890.6,1898.0,40.82785714285717,0.007487133103039044,0.003602337157287642,0.07501724711594657,0.07501724711594657,1761.964455,1827.2890264285713,1761.964455
BTC,2023-04-21 20:00:00,2023-04-22 00:00:00,27276.471419999998,2023-2024,27125.0,27184.54,463.1621428571429,0.005553189694798069,0.0033703560326571436,0.059430982660439745,0.059430982660439745,25655.403919999997,26396.463348571426,25655.403919999997
ETH,2023-04-21 20:00:00,2023-04-22 00:00:00,1849.6943849999998,2023-2024,1825.0,1836.61,37.42000000000001,0.013350521686316189,0.007073809114687822,0.070806291602599,0.070806291602599,1718.7243849999998,1778.5963849999998,1718.7243849999998
BTC,2023-04-24 16:00:00,2023-04-24 20:00:00,27396.971639999996,2023-2024,26942.82,27125.0,392.1021428571429,0.016576709497955172,0.009927069443066231,0.05009157647177096,0.05009157647177096,26024.614139999994,26651.977568571423,26024.614139999994
ETH,2023-04-24 16:00:00,2023-04-24 20:00:00,1832.2356599999998,2023-2024,1806.0,1825.0,29.34142857142857,0.0143189331878847,0.003949088077458238,0.056049012821855024,0.056049012821855024,1729.54066,1776.4869457142856,1729.54066
ETH,2023-04-25 08:00:00,2023-04-25 12:00:00,1826.9430149999998,2023-2024,1805.65,1806.0,29.346428571428596,0.011654996803498956,0.011463419946899566,0.05622096538134229,0.05622096538134229,1724.2305149999997,1771.1848007142855,1724.2305149999997
ETH,2023-04-25 12:00:00,2023-04-25 16:00:00,1815.9074999999998,2023-2024,1801.66,1805.65,30.387142857142862,0.00784593928930836,0.0056486908061119355,0.05856851188730705,0.05856851188730705,1709.5524999999998,1758.1719285714285,1709.5524999999998
ETH,2023-04-26 20:00:00,2023-04-27 00:00:00,1866.9430049999999,2023-2024,1785.0,1801.66,45.126428571428555,0.04389154075970298,0.034967861806793496,0.08459952959303112,0.08459952959303112,1709.000505,1781.2027907142856,1709.000505
BTC,2023-05-01 04:00:00,2023-05-01 08:00:00,28643.39454,2023-2024,28250.15,28369.95,338.7964285714284,0.013728978227452775,0.009546513057945695,0.04139828812342992,0.04139828812342992,27457.607040000003,27999.68132571429,27457.607040000003
BTC,2023-05-01 20:00:00,2023-05-02 00:00:00,28082.29413,2023-2024,27666.95,27799.99,422.1814285714281,0.014790249260878236,0.010052744576106925,0.05261803017800663,0.05261803017800663,26604.65913,27280.149415714284,26604.65913
ETH,2023-05-01 20:00:00,2023-05-02 00:00:00,1831.6453649999999,2023-2024,1806.12,1808.01,27.30285714285713,0.013935757154606163,0.012903898020673816,0.0521716713431587,0.0521716713431587,1736.085365,1779.7699364285713,1736.085365
ETH,2023-05-08 00:00:00,2023-05-08 04:00:00,1866.31269,2023-2024,1840.0,1860.0,33.01571428571425,0.014098757480987805,0.003382439627520282,0.06191620547787193,0.06191620547787193,1750.7576900000001,1803.5828328571429,1750.7576900000001
ETH,2023-05-08 04:00:00,2023-05-08 08:00:00,1852.355715,2023-2024,1838.34,1840.0,34.34071428571425,0.007566427380283166,0.006670271211919963,0.06488629534095716,0.06488629534095716,1732.163215,1787.108357857143,1732.163215
BTC,2023-05-08 08:00:00,2023-05-08 12:00:00,27948.057044999998,2023-2024,27577.01,27830.85,386.6707142857148,0.013276309133138145,0.004193745733783234,0.04842367030455594,0.04842367030455594,26594.709544999994,27213.38268785714,26594.709544999994
ETH,2023-05-08 08:00:00,2023-05-08 12:00:00,1863.7213949999998,2023-2024,1835.0,1838.34,32.52142857142854,0.0154107771027653,0.013618663748827054,0.06107404266827118,0.06107404266827118,1749.8963949999998,1801.9306807142855,1749.8963949999998
BTC,2023-05-08 20:00:00,2023-05-09 00:00:00,27682.6344,2023-2024,27262.0,27289.39,393.9992857142861,0.015194883330901448,0.014205454376842097,0.04981453282495402,0.04981453282495402,26303.636899999998,26934.035757142854,26303.636899999998
BTC,2023-06-28 16:00:00,2023-06-28 20:00:00,30115.039995,2023-2024,29858.8,29930.0,371.59857142857203,0.008508705120183917,0.006144437962915586,0.04318755678942946,0.04318755678942946,28814.444994999998,29409.002709285713,28814.444994999998
BTC,2023-06-30 12:00:00,2023-06-30 16:00:00,30082.75386,2023-2024,29500.0,29858.8,475.53357142857203,0.019371692588784847,0.007444593039661344,0.05532630116729619,0.05532630116729619,28418.386359999997,29179.240074285713,28418.386359999997
BTC,2023-07-06 12:00:00,2023-07-06 16:00:00,30422.2035,2023-2024,29888.0,30200.0,350.1385714285711,0.01755965835939529,0.007303990981455358,0.04028258505338046,0.04028258505338046,29196.718500000003,29756.940214285714,29196.718500000003
BTC,2023-07-06 20:00:00,2023-07-07 00:00:00,29910.367709999995,2023-2024,29850.45,29888.0,378.3621428571426,0.002003242172778834,0.0007478246411700497,0.04427453091983399,0.04427453091983399,28586.100209999997,29191.479638571425,28586.100209999997
BTC,2023-07-07 00:00:00,2023-07-07 04:00:00,30150.477704999998,2023-2024,29701.02,29850.45,375.1207142857139,0.01490715037412032,0.009951009995116653,0.04354566162586109,0.04354566162586109,28837.555205,29437.74834785714,28837.555205
ETH,2023-07-07 00:00:00,2023-07-07 04:00:00,1858.959015,2023-2024,1826.0,1846.0,24.25928571428572,0.01772982337644486,0.006971113884401539,0.045674756309783425,0.045674756309783425,1774.0515149999999,1812.8663721428572,1774.0515149999999
ETH,2023-07-17 08:00:00,2023-07-17 12:00:00,1911.0450449999998,2023-2024,1889.36,1898.39,15.516428571428573,0.01134721813948658,0.006622054793062058,0.028417697501211966,0.028417697501211966,1856.737545,1881.5638307142856,1856.737545
SOL,2023-07-18 12:00:00,2023-07-18 16:00:00,25.53276,2023-2024,24.76,24.87,0.9878571428571428,0.030265431547549036,0.02595724081532896,0.13541426778773621,0.13541426778773621,22.07526,23.655831428571428,22.07526
BTC,2023-07-18 16:00:00,2023-07-18 20:00:00,29730.837989999996,2023-2024,29512.0,29659.2,283.0057142857139,0.00736063982029712,0.002409551658923679,0.03331624895111134,0.03331624895111134,28740.31799,29193.127132857142,28740.31799
BTC,2023-09-21 12:00:00,2023-09-21 16:00:00,26597.302004999998,2023-2024,26377.7,26567.09,345.815,0.00825655192239853,0.0011359048746492433,0.04550658934400441,0.04550658934400441,25386.949504999997,25940.253504999997,25386.949504999997
SOL,2023-10-05 16:00:00,2023-10-05 20:00:00,22.8114,2023-2024,22.53,22.58,0.7149999999999993,0.012335937294510546,0.010144050781626762,0.10970391996983955,0.10970391996983955,20.3089,21.4529,20.3089
SOL,2023-10-09 16:00:00,2023-10-09 20:00:00,22.2111,2023-2024,21.59,22.05,0.4285714285714288,0.027963495729612604,0.007253130191660817,0.067533800667234,0.067533800667234,20.7111,21.39681428571428,20.7111
BTC,2023-10-11 04:00:00,2023-10-11 08:00:00,27035.460974999998,2023-2024,26964.89,27011.01,243.73142857142895,0.0026103115114351674,0.000904403850284256,0.03155337357808826,0.03155337357808826,26182.400974999997,26572.37126071428,26182.400974999997
BTC,2023-10-11 16:00:00,2023-10-11 20:00:00,26776.571594999998,2023-2024,26538.66,26727.56,268.73428571428616,0.008885065593850078,0.0018303909754133073,0.03512660299556925,0.03512660299556925,25836.001594999998,26265.976452142855,25836.001594999998
SOL,2023-10-12 00:00:00,2023-10-12 04:00:00,21.720855,2023-2024,21.49,21.59,0.4100000000000004,0.010628264863422816,0.0060243945277476596,0.06606553931693764,0.06606553931693764,20.285854999999998,20.941854999999997,20.285854999999998
SOL,2023-10-12 08:00:00,2023-10-12 12:00:00,21.520755,2023-2024,21.15,21.49,0.415714285714286,0.01722778777975041,0.0014290855502050346,0.06760915218820161,0.06760915218820161,20.065755,20.730897857142857,20.065755
SOL,2023-10-12 16:00:00,2023-10-12 20:00:00,21.23061,2023-2024,20.93,21.15,0.41857142857142904,0.014159272861213077,0.00379687630265923,0.06900414071946127,0.06900414071946127,19.76561,20.435324285714284,19.76561
ETH,2023-10-27 16:00:00,2023-10-27 20:00:00,1775.2171649999998,2023-2024,1744.66,1756.21,36.17571428571427,0.017213198251155776,0.01070695201395248,0.07132366816653667,0.07132366816653667,1648.6021649999998,1706.4833078571428,1648.6021649999998
ETH,2023-11-03 00:00:00,2023-11-03 04:00:00,1799.2391699999998,2023-2024,1777.11,1777.77,28.053571428571413,0.012299181992575191,0.011932360276482782,0.05457167764972566,0.05457167764972566,1701.0516699999998,1745.9373842857142,1701.0516699999998
BTC,2023-11-14 00:00:00,2023-11-14 04:00:00,36466.30404,2023-2024,36190.17,36333.0,350.0728571428564,0.0075723067437026845,0.0036555401900280624,0.03359964855928397,0.03359964855928397,35241.049040000005,35801.16561142857,35241.049040000005
ETH,2023-11-17 16:00:00,2023-11-17 20:00:00,1939.8394349999999,2023-2024,1904.0,1912.72,40.58928571428573,0.018475464697417017,0.013980247287837946,0.0732341540422391,0.0732341540422391,1797.7769349999999,1862.719792142857,1797.7769349999999
SOL,2023-11-21 12:00:00,2023-11-21 16:00:00,55.137555,2023-2024,52.73,54.7,2.0457142857142863,0.04366452230244889,0.007935698273164201,0.12985704571049628,0.12985704571049628,47.977554999999995,51.25069785714286,47.977554999999995
SOL,2023-11-21 16:00:00,2023-11-21 20:00:00,54.847409999999996,2023-2024,52.35,52.73,2.1542857142857152,0.045533781813945184,0.038605469246405615,0.1374723072611816,0.1374723072611816,47.30740999999999,50.75426714285713,47.30740999999999
BTC,2023-11-22 00:00:00,2023-11-22 04:00:00,36398.179995,2023-2024,35632.01,35735.0,617.394285714286,0.021049678723091235,0.018220141641452935,0.05936780356316827,0.05936780356316827,34237.299994999994,35225.13085214286,34237.299994999994
ETH,2023-11-22 00:00:00,2023-11-22 04:00:00,1979.299155,2023-2024,1928.41,1931.43,40.72642857142858,0.025710694046145767,0.02418490144810872,0.07201665278334342,0.07201665278334342,1836.756655,1901.9189407142856,1836.756655
ETH,2023-11-26 16:00:00,2023-11-26 20:00:00,2058.06852,2023-2024,2036.42,2040.35,22.23928571428574,0.010518852890281679,0.008609295476712263,0.03782065526175975,0.03782065526175975,1980.2310199999997,2015.8138771428569,1980.2310199999997
BTC,2023-11-27 04:00:00,2023-11-27 08:00:00,37301.84159999999,2023-2024,37051.0,37150.0,229.4521428571414,0.006724643857797963,0.004070619398051181,0.021529298971662437,0.021529298971662437,36498.759099999996,36865.88252857143,36498.759099999996
ETH,2023-11-27 04:00:00,2023-11-27 08:00:00,2046.5927849999998,2023-2024,2030.0,2036.42,19.711428571428574,0.00810751661083366,0.004970595554992025,0.03370968592562492,0.03370968592562492,1977.6027849999998,2009.1410707142854,1977.6027849999998
SOL,2023-11-27 04:00:00,2023-11-27 08:00:00,55.957964999999994,2023-2024,55.5,55.7,1.412857142857143,0.008184089610835462,0.00460997822204563,0.08836990408782737,0.08836990408782737,51.012964999999994,53.273536428571425,51.012964999999994
BTC,2023-11-27 16:00:00,2023-11-27 20:00:00,36895.4385,2023-2024,36707.0,36715.0,292.2521428571412,0.005107365779105636,0.00489053680714478,0.027723820113968678,0.027723820113968678,35872.556000000004,36340.15942857143,35872.556000000004
SOL,2023-11-27 16:00:00,2023-11-27 20:00:00,54.147059999999996,2023-2024,53.47,53.91,1.2985714285714292,0.012504095328536718,0.004378077036869585,0.08393807530824392,0.08393807530824392,49.602059999999994,51.67977428571428,49.602059999999994
SOL,2023-12-05 04:00:00,2023-12-05 08:00:00,59.71984499999999,2023-2024,59.11,59.58,1.7564285714285712,0.010211764615263033,0.0023416839075853933,0.1029389811711668,0.1029389811711668,53.57234499999999,56.3826307142857,53.57234499999999
SOL,2023-12-11 00:00:00,2023-12-11 04:00:00,70.91543999999999,2023-2024,64.18,64.5,3.1757142857142844,0.09497847013287916,0.090466053654888,0.15673596610272736,0.15673596610272736,59.800439999999995,64.88158285714285,59.800439999999995
BTC,2023-12-11 16:00:00,2023-12-11 20:00:00,40800.379994999996,2023-2024,40222.0,40400.0,701.1571428571436,0.014175848241385864,0.00981314377584379,0.060147724121705284,0.060147724121705284,38346.32999499999,39468.18142357142,38346.32999499999
ETH,2023-12-11 16:00:00,2023-12-11 20:00:00,2188.6938,2023-2024,2156.62,2161.0,42.15785714285715,0.014654311169520432,0.012653117580906023,0.06741578013333797,0.06741578013333797,2041.1413,2108.5938714285717,2041.1413
ETH,2023-12-13 00:00:00,2023-12-13 04:00:00,2167.113015,2023-2024,2150.0,2156.62,49.959285714285734,0.007896687843019532,0.00484193252837809,0.08068683949092526,0.08068683949092526,1992.2555149999998,2072.190372142857,1992.2555149999998
