symbol,signal_time,entry_time,exit_time,entry_price,exit_price,exit_reason,initial_quantity,initial_notional,entry_equity,entry_fee,total_fees,funding_cost,gross_pnl,net_pnl,net_return_on_entry_equity,trade_return_on_notional,expectancy_r,holding_bars,holding_hours
BTC,2021-08-31 00:00:00,2021-08-31 04:00:00,2021-09-04 00:00:00,47174.255339999996,50252.29128500001,TIME_T24,0.29094900443459404,13725.30262611633,137253.0262611633,5.4901210504465325,11.338462698417725,64.34105462154348,895.5514938116479,819.8719764916867,0.005973434603413734,0.05973434603413733,0.05973434603413733,24,96
SOL,2021-09-07 12:00:00,2021-09-07 16:00:00,2021-09-11 12:00:00,169.14453,188.38576,TIME_T24,81.63012911954944,13807.289823765503,138072.89823765503,5.522915929506201,11.674097494739982,33.29852253289975,1570.6640893189483,1525.6914692913085,0.011049898197003475,0.11049898197003474,0.11049898197003474,24,96
ETH,2021-09-19 20:00:00,2021-09-20 00:00:00,2021-09-23 20:00:00,3330.234285,3150.9237500000004,TIME_T24,4.191854919508954,13959.858970694631,139598.5897069463,5.583943588277853,10.867229677251894,13.97224470730313,-751.6437482595308,-776.4832226440858,-0.00556225692733806,-0.055622569273380607,-0.055622569273380607,24,96
SOL,2021-10-10 16:00:00,2021-10-10 20:00:00,2021-10-14 16:00:00,153.54673499999998,149.994965,TIME_T24,90.41032782904972,13882.21064843022,138822.1064843022,5.552884259372088,10.977321842714824,21.954451626770243,-321.1166900733818,-354.0484635428669,-0.002550375242886133,-0.025503752428861333,-0.025503752428861333,24,96
ETH,2021-10-11 00:00:00,2021-10-11 04:00:00,2021-10-15 00:00:00,3519.909075,3819.0095400000005,TIME_T24,3.9382791386441762,13862.38447999682,138623.84479996818,5.5449537919987275,11.561084032664766,32.065766929707586,1177.9411216682743,1134.314270705902,0.008182677896019244,0.08182677896019244,0.08182677896019244,24,96
BTC,2021-10-12 20:00:00,2021-10-13 00:00:00,2021-10-16 20:00:00,56024.908455,60845.132215000005,TIME_T24,0.24733083834763392,13856.687576524593,138566.87576524593,5.542675030609837,11.56222605465327,36.239353717909054,1192.189983583986,1144.3884038114236,0.008258744360738835,0.08258744360738834,0.08258744360738834,24,96
ETH,2021-10-17 20:00:00,2021-10-18 00:00:00,2021-10-21 20:00:00,3848.9235,4050.963505,TIME_T24,3.656782492436563,14074.676069527659,140746.76069527658,5.629870427811063,11.555267396844446,66.76838625945322,738.8163530557966,660.492699399499,0.0046927737173965735,0.04692773717396573,0.04692773717396573,24,96
SOL,2021-10-19 20:00:00,2021-10-20 00:00:00,2021-10-23 20:00:00,155.847885,197.651125,TIME_T24,90.3564120990636,14081.855721827473,140818.5572182747,5.63274228873099,12.776360889668403,62.230499272569226,3777.1907805160613,3702.1839203538234,0.02629045484832856,0.2629045484832856,0.2629045484832856,24,96
BTC,2021-10-22 16:00:00,2021-10-22 20:00:00,2021-10-26 16:00:00,61063.226355,61969.0,TIME_T24,0.23769109296000987,14514.18501198443,145141.85011984428,5.805674004793772,11.697465740649314,59.13593814863187,215.29432765442223,144.46092376514105,0.0009953085457148232,0.009953085457148231,0.009953085457148231,24,96
ETH,2021-10-27 08:00:00,2021-10-27 12:00:00,2021-10-31 08:00:00,3994.086045,4205.37626,TIME_T24,3.636724311951948,14525.389823879503,145253.89823879502,5.810155929551802,11.927673563810824,40.93683201320249,768.4042617680541,715.5397561910409,0.00492613117353109,0.0492613117353109,0.0492613117353109,24,96
SOL,2021-10-27 08:00:00,2021-10-27 12:00:00,2021-10-31 08:00:00,190.07498999999999,186.28681,TIME_T24,76.41925865091196,14525.389823879503,145253.89823879502,5.810155929551802,11.504515896209119,20.451748847568183,-289.48990723621034,-321.44617197998764,-0.0022129951476519785,-0.022129951476519784,-0.022129951476519784,24,96
BTC,2021-10-28 16:00:00,2021-10-28 20:00:00,2021-11-01 16:00:00,61319.514435,61405.262010000006,TIME_T24,0.23942362286202432,14681.340298167896,146813.40298167896,5.872536119267158,11.75328423655757,55.39541068714339,20.52999505813518,-46.61869986556578,-0.00031753708393629016,-0.0031753708393629015,-0.0031753708393629015,24,96
