datetime,scale,sigma_annualized,prior_return_count
2022-03-19 04:00:00,1.0,0.0,4848
2022-03-19 08:00:00,1.0,0.0,4849
2022-03-19 12:00:00,1.0,0.0,4850
2022-03-19 16:00:00,1.0,0.0,4851
2022-03-19 20:00:00,1.0,0.0,4852
2022-03-20 00:00:00,1.0,0.0,4853
2022-03-20 04:00:00,1.0,0.0,4854
2022-03-20 08:00:00,1.0,0.0,4855
2022-03-20 12:00:00,1.0,0.0,4856
2022-03-20 16:00:00,1.0,0.0,4857
2022-03-20 20:00:00,1.0,0.0,4858
2022-03-21 00:00:00,1.0,0.0,4859
2022-03-21 04:00:00,1.0,0.0,4860
2022-03-21 08:00:00,1.0,0.0,4861
2022-03-21 12:00:00,1.0,0.0,4862
2022-03-21 16:00:00,1.0,0.0,4863
2022-03-21 20:00:00,1.0,0.0,4864
2022-03-22 00:00:00,1.0,0.0,4865
2022-03-22 04:00:00,1.0,0.0,4866
2022-03-22 08:00:00,1.0,0.0,4867
2022-03-22 12:00:00,1.0,0.0,4868
2022-03-22 16:00:00,1.0,0.0,4869
2022-03-22 20:00:00,1.0,0.0,4870
2022-03-23 00:00:00,1.0,0.0,4871
2022-03-23 04:00:00,1.0,0.0,4872
2022-03-23 08:00:00,1.0,0.0,4873
2022-03-23 12:00:00,1.0,0.0,4874
2022-03-23 16:00:00,1.0,0.0,4875
2022-03-23 20:00:00,1.0,0.0,4876
2022-03-24 00:00:00,1.0,0.0,4877
2022-03-24 04:00:00,1.0,0.0,4878
2022-03-24 08:00:00,1.0,0.0,4879
2022-03-24 12:00:00,1.0,0.0,4880
2022-03-24 16:00:00,1.0,0.0,4881
2022-03-24 20:00:00,1.0,0.0,4882
2022-03-25 00:00:00,1.0,0.0,4883
2022-03-25 04:00:00,1.0,0.0,4884
2022-03-25 08:00:00,1.0,0.0,4885
2022-03-25 12:00:00,1.0,0.0,4886
2022-03-25 16:00:00,1.0,0.0,4887
2022-03-25 20:00:00,1.0,0.0,4888
2022-03-26 00:00:00,1.0,0.0,4889
2022-03-26 04:00:00,1.0,0.0,4890
2022-03-26 08:00:00,1.0,0.0,4891
2022-03-26 12:00:00,1.0,0.0,4892
2022-03-26 16:00:00,1.0,0.0,4893
2022-03-26 20:00:00,1.0,0.0,4894
2022-03-27 00:00:00,1.0,0.0,4895
2022-03-27 04:00:00,1.0,0.0,4896
2022-03-27 08:00:00,1.0,0.0,4897
2022-03-27 12:00:00,1.0,0.0,4898
2022-03-27 16:00:00,1.0,0.0,4899
2022-03-27 20:00:00,1.0,0.0,4900
2022-03-28 00:00:00,1.0,0.0,4901
2022-03-28 04:00:00,1.0,0.0,4902
2022-03-28 08:00:00,1.0,0.0,4903
2022-03-28 12:00:00,1.0,0.0,4904
2022-03-28 16:00:00,1.0,0.0,4905
2022-03-28 20:00:00,1.0,0.0,4906
2022-03-29 00:00:00,1.0,0.0,4907
2022-03-29 04:00:00,1.0,0.0,4908
2022-03-29 08:00:00,1.0,0.0,4909
2022-03-29 12:00:00,1.0,0.0,4910
2022-03-29 16:00:00,1.0,0.0,4911
2022-03-29 20:00:00,1.0,0.0,4912
2022-03-30 00:00:00,1.0,0.0,4913
2022-03-30 04:00:00,1.0,0.0,4914
2022-03-30 08:00:00,1.0,0.0,4915
2022-03-30 12:00:00,1.0,0.0,4916
2022-03-30 16:00:00,1.0,0.0,4917
