symbol,onboard_date,delist_date,source
LUNA2USDT,2022-09-09,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
LDOUSDT,2022-09-21,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
APTUSDT,2022-10-18,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
QNTUSDT,2022-10-18,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
FETUSDT,2023-01-15,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
FXSUSDT,2023-01-19,2026-01-06,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
HOOKUSDT,2023-01-19,2026-03-24,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
MAGICUSDT,2023-01-23,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
TUSDT,2023-01-31,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
HIGHUSDT,2023-02-03,2026-06-11,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
MINAUSDT,2023-02-03,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
ASTRUSDT,2023-02-13,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
AGIXUSDT,2023-02-15,2024-06-25,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
PHBUSDT,2023-02-15,2026-05-19,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
GMXUSDT,2023-02-16,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
CFXUSDT,2023-02-19,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
STXUSDT,2023-02-20,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
ACHUSDT,2023-02-21,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
BNXUSDT,2023-02-22,2025-03-17,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
SSVUSDT,2023-02-23,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
CKBUSDT,2023-02-27,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
PERPUSDT,2023-03-05,2025-11-21,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
